qb_id,qb_name,qualifying_receivers,ypg_highs,tdpg_highs,ypg_lows,tdpg_lows,expected_equal,expected_seasons,elev_ypg_oe,elev_tdpg_oe,elev_blended,depr_ypg_oe,depr_tdpg_oe,depr_blended,net_ypg,net_tdpg,net_blended,yards_rate,td_rate,career_starts
00-0023541,Kyle Orton,18,2,2,2,5,4.578571428571428,3.890848040848041,0.5140267568928455,0.5140267568928455,0.5140267568928455,0.5140267568928455,1.2850668922321136,0.8995468245624796,0.0,-0.7710401353392681,-0.3855200676696341,0.1111111111111111,0.1111111111111111,67
00-0033869,Mitchell Trubisky,13,4,3,5,6,3.9595238095238092,4.0032217782217785,0.999195203663383,0.7493964027475372,0.8742958032054601,1.2489940045792287,1.4987928054950743,1.3738934050371516,-0.24979880091584572,-0.7493964027475372,-0.49959760183169155,0.3076923076923077,0.23076923076923078,58
00-0030565,Geno Smith,17,4,4,9,6,6.35,6.304761904761905,0.6344410876132931,0.6344410876132931,0.6344410876132931,1.4274924471299093,0.9516616314199396,1.1895770392749245,-0.7930513595166162,-0.31722054380664655,-0.5551359516616314,0.23529411764705882,0.23529411764705882,81
00-0031237,Teddy Bridgewater,23,3,5,6,8,6.145238095238096,5.321067821067821,0.5637966101694916,0.9396610169491525,0.7517288135593221,1.1275932203389831,1.5034576271186442,1.3155254237288136,-0.5637966101694916,-0.5637966101694917,-0.5637966101694916,0.13043478260869565,0.21739130434782608,66
00-0031280,Derek Carr,33,10,8,16,16,11.61111111111111,12.367796092796093,0.8085514933274757,0.6468411946619805,0.7276963439947282,1.293682389323961,1.293682389323961,1.293682389323961,-0.4851308959964854,-0.6468411946619805,-0.5659860453292329,0.30303030303030304,0.24242424242424243,166
00-0034796,Lamar Jackson,15,3,5,8,6,4.75,4.940079365079365,0.6072776929873885,1.0121294883123142,0.8097035906498513,1.6194071812997028,1.214555385974777,1.41698128363724,-1.0121294883123144,-0.20242589766246288,-0.6072776929873887,0.2,0.3333333333333333,92
00-0026898,Mark Sanchez,17,3,4,8,7,5.608333333333333,5.251598401598401,0.5712546486964628,0.761672864928617,0.6664637568125399,1.523345729857234,1.3329275136250798,1.4281366217411569,-0.9520910811607711,-0.5712546486964628,-0.761672864928617,0.17647058823529413,0.23529411764705882,74
00-0031345,Jimmy Garoppolo,14,1,3,8,2,4.177777777777778,3.803113553113553,0.26294245124006743,0.7888273537202023,0.5258849024801349,2.1035396099205395,0.5258849024801349,1.314712256200337,-1.8405971586804721,0.26294245124006743,-0.7888273537202022,0.07142857142857142,0.21428571428571427,63
00-0033106,Jared Goff,20,4,2,11,5,5.2023809523809526,5.711652236652236,0.7003227497520954,0.3501613748760477,0.5252420623140716,1.9258875618182623,0.8754034371901193,1.4006454995041908,-1.2255648120661669,-0.5252420623140716,-0.8754034371901193,0.2,0.1,134
00-0023436,Alex Smith,33,6,6,14,16,9.670238095238096,10.11763098013098,0.5930241982320575,0.5930241982320575,0.5930241982320575,1.3837231292081342,1.5813978619521534,1.482560495580144,-0.7906989309760767,-0.9883736637200958,-0.8895362973480864,0.18181818181818182,0.18181818181818182,160
00-0027974,Colin Kaepernick,16,5,4,10,8,4.40952380952381,4.528113553113553,1.1042125912593284,0.8833700730074626,0.9937913321333955,2.2084251825186567,1.7667401460149252,1.987582664266791,-1.1042125912593284,-0.8833700730074626,-0.9937913321333955,0.3125,0.25,58
